SKU,Merchant Item ID,Product Name,Description,Short Description,Status,Stock,Tax Rate,Regular Price,Sale Price,Weight (Kgs),Brand,Category,Sub Category Lvl 1,Sub Category Lvl 2,Sub Category Lvl 3,Sub Category Lvl 4,Sub Category Lvl 5,Sub Category Lvl 6,Images,Features 1,Features 2,Features 3,Features 4
11,11,Sandwich Griller GAS Jumbo,,"JOHAR TRADERS introduces its new product <b>Sandwich Griller in GAS.</b> It is used for preparing various grill sandwich, panini sandwich, etc. Sandwich Griller can be ideally used at fast food, cafes, restaurants, canteens, etc. Sandwich Griller is manufactured from quality stainless steel. This Sandwich Griller is designed very beautifully &amp; sophisticatedly. Electric parts used in these Sandwich Griller are of standard quality. High-Quality food grade Teflon coated plates are being used for delivering excellent results in grilling sandwiches quickly.",Publish,10,0,,0,0,Johar Traders,Toaster & Grilllers,Snacks Machines,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Sandwich-Griller-GAS-.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Sandwich-griller-Gas-1-.jpg",,,,
12,12,Chicken Cleaning Machine ST Series,"<a href=""https://youtu.be/y_2ifnB9l_k""> <img src=""https://www.johartraders.in/wp-content/uploads/2023/10/youtube-icon-2048x1450-n77mmhe0.png"" width=""100"" height=""132"" /> </a>","Widely used in several poultry farms and meat shops, this <b>Chicken Feather Machine</b> is used for the purpose of the-feathered birds. Manufactured as per the industrial norms, the quality of this product is never compromised. Further we offer this machine to our clients in specifications as per the needs of the clients. Owing to its impeccable quality, smooth functioning and market leading price, it is highly preferred in the market.
 
 
 
 <b>Specifications:</b>
 
 <ul>
 
   <li>Capacity: 3,6,9 Birds</li>
 
   <li>Weight: 30,50,70 Kgs</li>
 
 </ul>
 
 <a href=""https://youtu.be/y_2ifnB9l_k""> <img src=""https://www.johartraders.in/wp-content/uploads/2023/10/images.png"" width=""200"" height=""250"" /> </a>",Publish,10,0,,0,0,Johar Traders,Chicken De-Feathering Machine,Meat Processing Machine,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Chicken-Cleaning-SACO-TECH-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Chicken-Machine-XH-Series-9-1.jpg",,,,
13,13,Momo Sheet Making Machine,,"Designed for Momo manufacturers, hotels, restaurants etc. This is high quality dough sheet cutter forms and cuts the dough sheet into small round shape strips / sheets of required sizes and thickness. The size of strips depends upon the size of mould fixed in the cutter. It saves a lot of time and Labour cost in the production process.
 
 
 
 &nbsp;
 
 
 
 [embed]https://youtu.be/L0IQG83p5eU[/embed]",Publish,10,0,,0,0,Johar Traders,Noodles / Sewai Machines,Namkeen/ Noodle/Sewai Processing,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Momo-Sheet-Making-Mach-2.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Momo-Sheet-Making-Mach-1.png",,,,
14,14,Potato Waffer Machine 3hp Heavy,,"We feel proud to introduce ourselves as the leading supplier of<b> Potato Chips Making Machine.</b> Our offered chips line made using optimum quality components and advanced technology under the vigilance of skilled professionals. Apart from this, provided chips line is praised in the market for its easy usage and sturdiness. Clients can avail this chips line from us at pocket friendly prices.
 
 
 
 [embed]https://youtu.be/K9OqG0FTQSM[/embed]",Publish,10,0,,0,0,Johar Traders,Namkeen Machines,Namkeen/ Noodle/Sewai Processing,,,,,,"https://www.johartraders.in/wp-content/uploads/2023/07/Potato-Waffer-3hp-1.jpg,https://www.johartraders.in/wp-content/uploads/2023/07/Potato-Waffer-3hp-2.jpg",,,,
15,15,4 Door Commercial Refrigeration,,,Publish,10,0,,0,0,Johar Traders,Refrigeration Machines,Hot & Cold Beverage Equipments,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/4Door-Deep-Freezer-SS-2.png,https://www.johartraders.in/wp-content/uploads/2024/02/4Door-Deep-Freezer-SS-2.png",,,,
16,16,4 Slice Pop-Up Toaster,,,Publish,10,0,,0,0,Johar Traders,Toaster & Grillers,Uncategorized,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/4slice-Bread-Toaster-.jpg,,,,
17,17,Maharani 1400watt Mixie,,,Publish,10,0,,0,0,Johar Traders,Mixie Machine,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/1400-WATT-Maharani-.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/1400-Watt-Maharani-Fibre.jpg",,,,
18,18,Maharani 1700watt Mixie,,,Publish,10,0,,0,0,Johar Traders,Mixie Machine,Convection Oven,Uncategorized,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/1700-WATT-Maharani-.jpg,,,,
19,19,Maharani 1800watt Mixie,,,Publish,10,0,,0,0,Johar Traders,Mixie Machine,,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/1800-watt-Maharani-.jpg,,,,
20,20,Maharani 2000watt Mixie,,,Publish,10,0,,0,0,Johar Traders,Mixie Machine,Uncategorized,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/1800-watt-Maharani-1-1.jpg,,,,
21,21,Pizza Oven PO 409,,,Publish,10,0,,0,0,Johar Traders,Pizza Ovens,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/PO-409-1.jpeg,https://www.johartraders.in/wp-content/uploads/2024/02/PO-409-.jpg",,,,
22,22,Sandwich Griller SG-10 Single,,,Publish,10,0,,0,0,Johar Traders,Toaster & Grillers,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Akasa-Sandwich-Griller-2.jpeg,https://www.johartraders.in/wp-content/uploads/2024/02/SG-10-.jpg",,,,
23,23,Sandwich Griller SG-14 Double,,,Publish,10,0,,0,0,Johar Traders,Toaster & Grillers,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Akasa-Sandwich-Griller-1.jpeg,https://www.johartraders.in/wp-content/uploads/2024/02/SG-14-.jpg",,,,
24,24,Bain Marie 2Container Table Top,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Bain-Marie-2Container-Table-Top-4.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Bain-Marie-2Container-Table-Top-1-1.png",,,,
25,25,Bain Marie Single Pan,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Bain-Marie-For-Gulab-Jamun-Warmer-Single-3-1.png,https://www.johartraders.in/wp-content/uploads/2024/02/Bain-Marie-For-Gulab-Jamun-Warmer-Single-1-1.png",,,,
26,26,Baking Oven 2 Deck 4 Tray SACOPRO,,,Publish,10,0,,0,0,Johar Traders,Deck Ovens,Baking Ovens,Bakery Machineries,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-2deck-gas-.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-2Deck-4Tray-.jpg",,,,
27,27,Bain Marie 4 Container with Drainage,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/Bain-Marie-4-Container-with-Drainage.jpg,,,,
28,28,Baking Oven 4 Deck SACOPRO,,,Publish,10,0,,0,0,Johar Traders,Deck Ovens,Baking Ovens,Bakery Machineries,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-4Deck-1-.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-4Deck-.jpg",,,,
29,29,Baking Oven 1 Deck 2 Tray SACOPRO,,,Publish,10,0,,0,0,Johar Traders,Deck Ovens,Baking Ovens,Bakery Machineries,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-Elec-1Deck-2Tray-SACO-PRO-2-Copy.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-Elec-1Deck-2Tray-SACO-PRO-2-Copy-1.jpg",,,,
30,30,Baking Oven Sacopro,,,Publish,10,0,,0,0,Johar Traders,Baking Ovens,Bakery Machineries,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-SACO-PRO-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Baking-Oven-SACO-PRO-1-1.jpg",,,,
31,31,Electric BBQ Model EB 2113,,,Publish,10,0,,0,0,Johar Traders,BBQ Griller,Tandoor / BBQ Equipments,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/BBQ-2113-SACO-PRO-.jpg,,,,
32,32,Bhujiya Making Machine,,,Publish,10,0,,0,0,Johar Traders,Namkeen Machines,Snacks Machines,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Bhujiya-Mach-3.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Bhujiya-Machine-1.jpg",,,,
33,33,Biryani Warmer,,,Publish,10,0,,0,0,Johar Traders,Food Warmers,Food Warmers,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Biryani-Warmer-.png,https://www.johartraders.in/wp-content/uploads/2024/02/Biryani-Warmer.jpg",,,,
34,34,Electric Bain Marie Model BM 409,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/BM-409.jpg,,,,
35,35,Cake Display Showcase Cooling,,,Publish,10,0,,0,0,Johar Traders,Refrigeration Machines,Display showcase,Bakery Machineries,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Cake-Display-Showcase-cooling.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Cake-Display-Vertical.jpg",,,,
36,36,Can Sealing Machine,,,Publish,10,0,,0,0,Johar Traders,Container/Thaali /Glass Sealers,Plastic Sealers,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/Can-Sealing-Machine-.jpg,,,,
37,37,Candy Floss Machine With Regulator Type,,,Publish,10,0,,0,0,Johar Traders,Coffee Machines,Candy Floss Machines,Pop Corn & Coffee Machines,Fun Food Equipments,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Candy-Floss-with-regulator-type-1-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Candy-Floss-with-regulator-type-2.jpg",,,,
38,38,Chaffing Dish Rectangular,,,Publish,10,0,,0,0,Johar Traders,Food Warmers,Bain Marie Machine,Bain Marie Equipments,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Chaffing-Dish-Rect-.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Chaffing-Dish.jpg",,,,
39,39,Chaffing Dish Round,,,Publish,10,0,,0,0,Johar Traders,Food Warmers,Bain Marie Machine,Bain Marie Equipments,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Chaffing-Dish-Round-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Chaffing-Dish-Round2.jpg",,,,
40,40,Electric Bain Marie Model BM 209,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,Kitchen Equipments,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/BM-209.jpg,,,,
41,41,Electric Bain Marie Model BM 309,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,Kitchen Equipments,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/BM-309.jpg,,,,
42,42,Electric Bain Marie Model BM 206,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,Kitchen Equipments,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/BM-206.jpg,,,,
43,43,Chaff Cutter Indian 28 Teeth,,,Publish,10,0,,0,0,Johar Traders,Chaff / Bichalli Cutter Machines,,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-22-at-1.12.56-PM.jpeg,https://www.johartraders.in/wp-content/uploads/2024/02/Chaff-Cutter-Indian-28teeth-2.png",,,,
44,44,Chicken Griller Rotisserie,,,Publish,10,0,,0,0,Johar Traders,BBQ Griller,Chicken Griller,Chicken De-Feathering Machine,Chicken De-Feathering Machine,Poultry Machines,Meat Mincer machines,Poulty Machine,https://www.johartraders.in/wp-content/uploads/2024/02/Chicken-Griller-Rotisserie-.jpg,,,,
45,45,Chow Cutter Machine,,,Publish,10,0,,0,0,Johar Traders,Noodles / Sewai Machines,Noodle Steamer,Fun Food Equipments,Namkeen/ Noodle/Sewai Processing,Food Machinery,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Chow-cutter-10-and-11-inch-.png,https://www.johartraders.in/wp-content/uploads/2024/02/Chow-cutter-10-and-11-inch-.jpg",,,,
46,46,Chicken De Feathering SP Series,,,Publish,10,0,,0,0,Johar Traders,Chicken De-Feathering Machine,Chicken De-Feathering Machine,Poulty Machine,Meat Processing Machine,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Chciken-CLeanig-SP-60-1-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Chicken-Cleaning-SP-50-1-1.jpg",,,,
47,47,Chalna Machine Open Body Fitted with Anti Vibration,,,Publish,10,0,,0,0,Johar Traders,M.S.Pulverizers,Chalna Machines,Grinding & Pulverizers Machine,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Chalna-Mach-open-6ft-with-aniti-vibration-3.png,https://www.johartraders.in/wp-content/uploads/2024/02/Chalna-Mach-open-6ft-with-aniti-vibration-2.jpg",,,,
48,48,Electric Crepe Maker Model CM-12,,,Publish,10,0,,0,0,Johar Traders,Dosa Bhatti,Work Table,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/CM-12-.jpg,,,,
49,49,Electric Chocolate Melter Model CM- 15 DBL,,,Publish,10,0,,0,0,Johar Traders,Choclate Fountain,Fun Food Equipments,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/CM-15-DBL1-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/CM-15-DBL1.jpg",,,,
50,50,Electric Chocolate Melter Model CM - 15 SGL,,,Publish,10,0,,0,0,Johar Traders,Ice Cream Machines,Choclate Fountain,Fun Food Equipments,Beverage Equipments,,,,https://www.johartraders.in/wp-content/uploads/2024/02/CM-15-SGL.jpg,,,,
51,51,Electric Crepe Maker Model CM - 16,,,Publish,10,0,,0,0,Johar Traders,Dosa Bhatti,Dosa Bhatti,Fun Food Equipments,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/CM-16.jpg,,,,
52,52,Cold Display Counter Sacopro,,,Publish,10,0,,0,0,Johar Traders,Display showcase,Fun Food Equipments,Food Machinery,Beverage Equipments,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Cold-Display-Counter-SACO-PRO-2.png,https://www.johartraders.in/wp-content/uploads/2024/02/Cold-Display-Counter-SACO-PRO-1.jpg",,,,
53,53,Cold Bain Marie Floor Model,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Cold-bain-Marie-Floor-Model-.png,https://www.johartraders.in/wp-content/uploads/2024/02/Cold-bain-Marie-Floor-Model-.jpg",,,,
54,54,Cold Bain Marie with Overhead Shelf,,,Publish,10,0,,0,0,Johar Traders,Bain Marie Machine,Bain Marie Equipments,,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Cold-Bain-Marie-with-Overhead-Shelf.png,https://www.johartraders.in/wp-content/uploads/2024/02/Cold-Bain-Marie-with-Overhead-Shelf.jpg",,,,
55,55,Combi Oven,,,Publish,10,0,,0,0,Johar Traders,Pizza Ovens,Baking Ovens,Bakery Machineries,,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Combi-Oven-1.jpg,https://www.johartraders.in/wp-content/uploads/2024/02/Combi-Oven-2.jpg",,,,
56,56,Convection Oven Sacopro,,,Publish,10,0,,0,0,Johar Traders,Pizza Ovens,Convection Oven,Baking Ovens,Bakery Machineries,,,,"https://www.johartraders.in/wp-content/uploads/2024/02/Convection-Oven-SACO-PRO-2.png,https://www.johartraders.in/wp-content/uploads/2024/02/Convection-Oven-SACO-PRO-1.jpg",,,,
57,57,Electric Convection Oven CO 40 CON,,,Publish,10,0,,0,0,Johar Traders,Convection Oven,Baking Ovens,Bakery Machineries,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/Convection-CO-40-CON-.jpg,,,,
58,58,Cream Sep 300ltr Dual,,,Publish,10,0,,0,0,Johar Traders,Cream Seperator,Dairy Machineries,,,,,,https://www.johartraders.in/wp-content/uploads/2024/02/Cream-Sep-300ltr-Dual-.png,,,,
